trajectory_id,system_id,replica_id,engine,variant_id,condition,disulfide_state,replica_group_id,expected_replicas,topology_path,trajectory_path,config_path,log_path,box_path,production_start_ns,production_end_ns,frame_stride_ps,window_length_ns,window_step_ns,element_control,canonical_mapping,biological_annotations,partner_metadata,readiness_status,readiness_notes,source_group,nominal_duration_ns,time_control,overlap_percent
gromacs_wt_norm_r1,gromacs_wt_norm,1,gromacs,WT,NORM,,gromacs_wt_norm,3,,,,,,5,100,200,2,1,,,,,MISSING_FILES,"Authoritative production collection phase1eqmd3rep100ns not observed in empty Ramila intake; Missing/unbound production topology, trajectory, config and log; source-to-replica assignment unresolved; 30ns_03-2026 excluded from Dataset v1; historical pilots are not production assignments; Exact mapping, complete annotations and partner authority unresolved; External PBC execution/audit pending; inclusive-window contract implementation pending (execution gate; requested timing is approved)",gromacs,100,,50
gromacs_wt_norm_r2,gromacs_wt_norm,2,gromacs,WT,NORM,,gromacs_wt_norm,3,,,,,,5,100,200,2,1,,,,,MISSING_FILES,"Authoritative production collection phase1eqmd3rep100ns not observed in empty Ramila intake; Missing/unbound production topology, trajectory, config and log; source-to-replica assignment unresolved; 30ns_03-2026 excluded from Dataset v1; historical pilots are not production assignments; Exact mapping, complete annotations and partner authority unresolved; External PBC execution/audit pending; inclusive-window contract implementation pending (execution gate; requested timing is approved)",gromacs,100,,50
gromacs_wt_norm_r3,gromacs_wt_norm,3,gromacs,WT,NORM,,gromacs_wt_norm,3,,,,,,5,100,200,2,1,,,,,MISSING_FILES,"Authoritative production collection phase1eqmd3rep100ns not observed in empty Ramila intake; Missing/unbound production topology, trajectory, config and log; source-to-replica assignment unresolved; 30ns_03-2026 excluded from Dataset v1; historical pilots are not production assignments; Exact mapping, complete annotations and partner authority unresolved; External PBC execution/audit pending; inclusive-window contract implementation pending (execution gate; requested timing is approved)",gromacs,100,,50
gromacs_wt_tumor_r1,gromacs_wt_tumor,1,gromacs,WT,TUMOR,,gromacs_wt_tumor,3,,,,,,5,100,200,2,1,,,,,MISSING_FILES,"Authoritative production collection phase1eqmd3rep100ns not observed in empty Ramila intake; Missing/unbound production topology, trajectory, config and log; source-to-replica assignment unresolved; 30ns_03-2026 excluded from Dataset v1; historical pilots are not production assignments; Exact mapping, complete annotations and partner authority unresolved; External PBC execution/audit pending; inclusive-window contract implementation pending (execution gate; requested timing is approved)",gromacs,100,,50
gromacs_wt_tumor_r2,gromacs_wt_tumor,2,gromacs,WT,TUMOR,,gromacs_wt_tumor,3,,,,,,5,100,200,2,1,,,,,MISSING_FILES,"Authoritative production collection phase1eqmd3rep100ns not observed in empty Ramila intake; Missing/unbound production topology, trajectory, config and log; source-to-replica assignment unresolved; 30ns_03-2026 excluded from Dataset v1; historical pilots are not production assignments; Exact mapping, complete annotations and partner authority unresolved; External PBC execution/audit pending; inclusive-window contract implementation pending (execution gate; requested timing is approved)",gromacs,100,,50
gromacs_wt_tumor_r3,gromacs_wt_tumor,3,gromacs,WT,TUMOR,,gromacs_wt_tumor,3,,,,,,5,100,200,2,1,,,,,MISSING_FILES,"Authoritative production collection phase1eqmd3rep100ns not observed in empty Ramila intake; Missing/unbound production topology, trajectory, config and log; source-to-replica assignment unresolved; 30ns_03-2026 excluded from Dataset v1; historical pilots are not production assignments; Exact mapping, complete annotations and partner authority unresolved; External PBC execution/audit pending; inclusive-window contract implementation pending (execution gate; requested timing is approved)",gromacs,100,,50
gromacs_t330m_norm_r1,gromacs_t330m_norm,1,gromacs,T330M,NORM,,gromacs_t330m_norm,3,,,,,,5,30,200,2,1,,,,,MISSING_FILES,"Authoritative production collection T330M_30ns_09-2026 not observed in empty Ramila intake; Missing/unbound production topology, trajectory, config and log; source-to-replica assignment unresolved; 30ns_03-2026 excluded from Dataset v1; historical pilots are not production assignments; Exact mapping, complete annotations and partner authority unresolved; External PBC execution/audit pending; inclusive-window contract implementation pending (execution gate; requested timing is approved)",gromacs,30,,50
gromacs_t330m_norm_r2,gromacs_t330m_norm,2,gromacs,T330M,NORM,,gromacs_t330m_norm,3,,,,,,5,30,200,2,1,,,,,MISSING_FILES,"Authoritative production collection T330M_30ns_09-2026 not observed in empty Ramila intake; Missing/unbound production topology, trajectory, config and log; source-to-replica assignment unresolved; 30ns_03-2026 excluded from Dataset v1; historical pilots are not production assignments; Exact mapping, complete annotations and partner authority unresolved; External PBC execution/audit pending; inclusive-window contract implementation pending (execution gate; requested timing is approved)",gromacs,30,,50
gromacs_t330m_norm_r3,gromacs_t330m_norm,3,gromacs,T330M,NORM,,gromacs_t330m_norm,3,,,,,,5,30,200,2,1,,,,,MISSING_FILES,"Authoritative production collection T330M_30ns_09-2026 not observed in empty Ramila intake; Missing/unbound production topology, trajectory, config and log; source-to-replica assignment unresolved; 30ns_03-2026 excluded from Dataset v1; historical pilots are not production assignments; Exact mapping, complete annotations and partner authority unresolved; External PBC execution/audit pending; inclusive-window contract implementation pending (execution gate; requested timing is approved)",gromacs,30,,50
gromacs_t330m_tumor_r1,gromacs_t330m_tumor,1,gromacs,T330M,TUMOR,,gromacs_t330m_tumor,3,,,,,,5,30,200,2,1,,,,,MISSING_FILES,"Authoritative production collection T330M_30ns_09-2026 not observed in empty Ramila intake; Missing/unbound production topology, trajectory, config and log; source-to-replica assignment unresolved; 30ns_03-2026 excluded from Dataset v1; historical pilots are not production assignments; Exact mapping, complete annotations and partner authority unresolved; External PBC execution/audit pending; inclusive-window contract implementation pending (execution gate; requested timing is approved)",gromacs,30,,50
gromacs_t330m_tumor_r2,gromacs_t330m_tumor,2,gromacs,T330M,TUMOR,,gromacs_t330m_tumor,3,,,,,,5,30,200,2,1,,,,,MISSING_FILES,"Authoritative production collection T330M_30ns_09-2026 not observed in empty Ramila intake; Missing/unbound production topology, trajectory, config and log; source-to-replica assignment unresolved; 30ns_03-2026 excluded from Dataset v1; historical pilots are not production assignments; Exact mapping, complete annotations and partner authority unresolved; External PBC execution/audit pending; inclusive-window contract implementation pending (execution gate; requested timing is approved)",gromacs,30,,50
gromacs_t330m_tumor_r3,gromacs_t330m_tumor,3,gromacs,T330M,TUMOR,,gromacs_t330m_tumor,3,,,,,,5,30,200,2,1,,,,,MISSING_FILES,"Authoritative production collection T330M_30ns_09-2026 not observed in empty Ramila intake; Missing/unbound production topology, trajectory, config and log; source-to-replica assignment unresolved; 30ns_03-2026 excluded from Dataset v1; historical pilots are not production assignments; Exact mapping, complete annotations and partner authority unresolved; External PBC execution/audit pending; inclusive-window contract implementation pending (execution gate; requested timing is approved)",gromacs,30,,50
namd_egor_wt_0ss_r1,namd_egor_wt_0ss,1,namd,WT,PMm,0SS,namd_egor_wt_0ss,3,egor/MD_no_bonds_NPT_W_I_PMm_100_ns.psf,egor/MD_no_bonds_NPT_W_I_PMm_100_ns.dcd,egor/MD_no_bonds_NPT_W_I_PMm_100_ns.conf,egor/MD_no_bonds_NPT_W_I_PMm_100_ns.out,egor/MD_no_bonds_NPT_W_I_PMm_100_ns.xsc,5,100,200,2,1,egor_handoff/templates/namd_egor_wt_0ss_r1/elements.portable.json,egor_handoff/controls/namd/egor_wt_0ss/canonical_mapping.json,egor_handoff/controls/namd/egor_wt_0ss/annotations.json,egor_handoff/controls/namd/egor_wt_0ss/partner_metadata.json,READY,Nine-row handoff supplies exact system PSF-bound elements and 690-residue mapping; complete annotations and own-topology partner metadata supplied; All three system PSFs byte-identical; shared system authority with replica-specific element path bindings; CONF/OUT-derived full time axis and approved external PBC protocol supplied; Accepted 0SS/r1 full-axis prepared-input checkpoint retained; READY denotes local prepared-input readiness only; Portable handoff requires execution-site hash checks and absolute-path control rebinding; refreshed local binding supplied; Templates are not executable bindings; no new MD or contact science in this handoff task; Real QC and specialized partner correspondence remain downstream gates; Check stable UTC/NTP before unattended runs,egor_namd,100,egor_handoff/templates/namd_egor_wt_0ss_r1/raw_time.template.json,50
